Folder,File,Accuracy,Precision,Recall,F1
Initial_Experiments,Initial_Experiments/gcvit_tiny_gcvit_tiny_linear_probe_preTrue_bs32_lr0.0001_wd0.0001_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,82.52%,81.23%,79.52%,79.09%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_base_0.01_preTrue_bs32_lr0.001_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,82.52%,78.39%,79.13%,77.99%
BitFit_Base,BitFit_Base/gcvit_base_gcvit_base_bitfit_experiment_base_0.001_preTrue_bs32_lr0.0001_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,82.52%,81.23%,79.29%,79.41%
BitFit_Base,BitFit_Base/gcvit_base_gcvit_base_bitfit_experiment_base_0.005_preTrue_bs32_lr0.0005_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,81.82%,77.91%,78.89%,77.34%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_base_1e-05_preTrue_bs32_lr1.0000000000000002e-06_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,81.12%,77.50%,77.78%,76.70%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_smaller_warmup_1e-05_preTrue_bs32_lr1.0000000000000002e-06_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,80.42%,75.70%,77.22%,75.85%
BitFit_Base,BitFit_Base/gcvit_base_gcvit_base_bitfit_experiment_smaller_warmup_0.01_preTrue_bs32_lr0.001_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,80.42%,77.14%,77.62%,75.31%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_smaller_warmup_0.01_preTrue_bs32_lr0.001_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,80.42%,77.65%,76.83%,76.62%
BitFit_Base,BitFit_Base/gcvit_base_gcvit_base_bitfit_experiment_smaller_warmup_steplr_0.01_preTrue_bs32_lr0.001_wd0_ls0.0_sz224_augstronger_schedStepLRScheduler.pt,79.72%,78.79%,75.48%,75.76%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_base_0.1_preTrue_bs32_lr0.01_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,79.72%,71.86%,75.48%,71.88%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_base_0.05_preTrue_bs32_lr0.005_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,79.02%,77.66%,75.16%,75.00%
BitFit_Base,BitFit_Base/gcvit_base_gcvit_base_bitfit_experiment_smaller_warmup_0.05_preTrue_bs32_lr0.005_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,79.02%,80.67%,75.48%,74.49%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_smaller_warmup_steplr_0.05_preTrue_bs32_lr0.005_wd0_ls0.0_sz224_augstronger_schedStepLRScheduler.pt,79.02%,77.02%,75.00%,74.15%
BitFit_Base,BitFit_Base/gcvit_base_gcvit_base_bitfit_experiment_base_0.05_preTrue_bs32_lr0.005_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,79.02%,80.24%,74.13%,74.20%
BitFit_Base,BitFit_Base/gcvit_base_gcvit_base_bitfit_experiment_smaller_warmup_steplr_0.1_preTrue_bs32_lr0.01_wd0_ls0.0_sz224_augstronger_schedStepLRScheduler.pt,78.32%,68.75%,73.17%,69.04%
BitFit_Base,BitFit_Base/gcvit_base_gcvit_base_bitfit_experiment_smaller_warmup_0.1_preTrue_bs32_lr0.01_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,75.52%,64.60%,68.57%,63.41%
