model_name,class_set,cutoff,confidence_threshold,accuracy,true positive,true negative,false postivie,false negative,precision,recall,f1_score
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote']",tiger,0.09,0.951048951048951,100,36,4,3,0.9615384615384616,0.970873786407767,0.966183574879227
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote']",tiger,0.1,0.951048951048951,100,36,4,3,0.9615384615384616,0.970873786407767,0.966183574879227
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote']",tiger,0.125,0.9440559440559441,99,36,4,4,0.9611650485436893,0.9611650485436893,0.9611650485436893
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote']",tiger,0.15,0.9440559440559441,99,36,4,4,0.9611650485436893,0.9611650485436893,0.9611650485436893
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote']",tiger,0.175,0.9440559440559441,99,36,4,4,0.9611650485436893,0.9611650485436893,0.9611650485436893
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote']",tiger,0.2,0.9440559440559441,99,36,4,4,0.9611650485436893,0.9611650485436893,0.9611650485436893
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote']",tiger,0.25,0.9440559440559441,99,36,4,4,0.9611650485436893,0.9611650485436893,0.9611650485436893
yolov8x-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.001,0.8671328671328671,103,21,19,0,0.8442622950819673,1.0,0.9155555555555556
yolov8x-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.01,0.9370629370629371,101,33,7,2,0.9351851851851852,0.9805825242718447,0.9573459715639812
yolov8x-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.02,0.951048951048951,101,35,5,2,0.9528301886792453,0.9805825242718447,0.9665071770334929
yolov8x-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.03,0.951048951048951,101,35,5,2,0.9528301886792453,0.9805825242718447,0.9665071770334929
yolov8x-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.04,0.951048951048951,101,35,5,2,0.9528301886792453,0.9805825242718447,0.9665071770334929
yolov8x-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.05,0.958041958041958,101,36,4,2,0.9619047619047619,0.9805825242718447,0.9711538461538461
yolov8x-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.06,0.958041958041958,101,36,4,2,0.9619047619047619,0.9805825242718447,0.9711538461538461
yolov8x-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.07,0.958041958041958,101,36,4,2,0.9619047619047619,0.9805825242718447,0.9711538461538461
yolov8x-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.08,0.958041958041958,101,36,4,2,0.9619047619047619,0.9805825242718447,0.9711538461538461
yolov8x-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.09,0.958041958041958,101,36,4,2,0.9619047619047619,0.9805825242718447,0.9711538461538461
yolov8x-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.1,0.951048951048951,100,36,4,3,0.9615384615384616,0.970873786407767,0.966183574879227
yolov8x-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.125,0.951048951048951,100,36,4,3,0.9615384615384616,0.970873786407767,0.966183574879227
yolov8x-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.15,0.9440559440559441,99,36,4,4,0.9611650485436893,0.9611650485436893,0.9611650485436893
yolov8x-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.175,0.9440559440559441,99,36,4,4,0.9611650485436893,0.9611650485436893,0.9611650485436893
yolov8x-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.2,0.9440559440559441,99,36,4,4,0.9611650485436893,0.9611650485436893,0.9611650485436893
yolov8x-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.25,0.9440559440559441,99,36,4,4,0.9611650485436893,0.9611650485436893,0.9611650485436893
